Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Subject ID,Age,With what gender do you identify?,,How many servings of caffeine have you had today?,Where you are currently coming from?,,How busy has this week been?,How rejuvenated do you feel today?,"In a few sentences, how do you feel right now?",Which of the following methods/activities do you participate in to rejuvenate from mental fatigue? Check all that apply.,,,,,,,,How culturally acceptable is it to seek rest during a work day?,How many minutes would you be willing to rejuvenate during a work day?,Have you ever utilized the NapStation here at Steelcase?,How rejuvenated do you feel compared to when you arrived?,How long did your rejuvenation feel like?,"In a few sentences, how are you feeling right now?",How would you rate your LUCID experience?,"In a few sentences, explain why you rated the experience the way you did?",How likely are you to recommend the LUCID experience to a co-worker?,How culturally acceptable would it be to use LUCID at work for the purpose of rejuvenation?,Any additional comments or feedback.
10353451700,220558889,11/14/2018 02:44:31 PM,11/14/2018 02:48:37 PM,198.105.65.197,,,,,B29,45-54,Female,,2,Working on my own,,4,3,"A bit rushed, anxious",Meditation,Nature Walk,Napping,Solitude,Browse Social Media,,Eat a snack,,Somewhat inappropriate,10,No,7,3,"Much more relaxed, peaceful",3,Needed more time.,Likely,Somewhat appropriate,
10353446607,220558889,11/14/2018 02:44:41 PM,11/14/2018 02:46:46 PM,198.105.65.197,,,,,B30,18-24,Male,,2,From a meeting,,7,4,"Lots of projects going on, but excited to be getting them going. ",Meditation,,Napping,Solitude,,Socialize,Eat a snack,,Somewhat inappropriate,15,No,6,5,Rested and relaxed,4,"Overall, I liked the experience with the lights and sounds, I thought it would have been nice to pick the 'setting' of the sounds - rainforest, ocean, etc. ",Likely,Neutral,N/A
10353416097,220380826,11/14/2018 02:27:02 PM,11/14/2018 02:35:46 PM,198.105.65.10,,,,,B11,35-44,Male,,2,From a meal (Break/Lunch/Snack),,5,5,"A little high energy, good but not highly focused. A frequent outcome of my role and changing tasks quickly.",,,,Solitude,,Socialize,Eat a snack,,Somewhat inappropriate,15,No,3,4,A little fatigued. A small portion of the effect post-theme park ride. I tried to relax during the experience but found my eyes kept darting around due to some stimulation—not typical for me.,3,"Even though I wasn’t rejunivated I found some aspects (sound stage, lighting) to have potential and would try again with a different set of input.",Likely,Somewhat appropriate,I think the “multiplied value” intent would help with adoption in an environment like ours. To take 10 minutes away and perceive more than a 10 minute respite is an easier sell with many of my peers. Sad but true!
10352533380,220380826,11/14/2018 08:57:23 AM,11/14/2018 09:47:22 AM,198.105.65.10,,,,,B27,35-44,Female,,2,Working on my own,,7,4,Tense. I have a lot to do and a lot on my mind. But optimistic. ,,,,Solitude,Browse Social Media,Socialize,Eat a snack,Other,Somewhat inappropriate,10,No,6,3,Still tense but lighter. More refreshed.,4,The sounds built and receded in a way that helped me relax. The light felt soft and like I was connecting outside. ,Likely,Somewhat appropriate,"I am naturally skeptical, but surprisingly liked it."
10350505787,220380826,11/13/2018 04:32:15 PM,11/13/2018 04:47:05 PM,198.105.65.10,,,,,B23,45-54,Female,,3,Working on my own,,0,10,Great,Meditation,Nature Walk,,,,Socialize,Eat a snack,,Neutral,20,No,5,6,Good,4,The sound was a little too loud for me,Very likely,Very appropriate,Would love to learn more
10350445610,220380826,11/13/2018 04:16:38 PM,11/13/2018 04:31:32 PM,198.105.65.10,,,,,B22,18-24,Male,,2,Working on my own,,4,6,"Feeling okay! Not a terribly busy week so far, and I feel like I have a good handle on what I need to do this week.   ",,Nature Walk,Napping,,Browse Social Media,Socialize,Eat a snack,,Somewhat inappropriate,10,No,3,4,Not too terribly different. It was nice to take my mind off th8ngs for a bit,2,"Seems like with a little discipline and permission,I could do this with an mp3 ",Unlikely,Somewhat appropriate,Thanks!!
10350381861,220380826,11/13/2018 03:47:22 PM,11/13/2018 04:16:26 PM,198.105.65.10,,,,,B21,45-54,Male,,1,Working on my own,,7,2,Tired,,Nature Walk,,Solitude,Browse Social Media,,Eat a snack,,Somewhat inappropriate,10,No,6,3,More relaxed than when we began.,4,It was a nice departure from my project work.  The Audio was interesting and relaxing.,Likely,Somewhat appropriate,Thanks for the opportunity to test drive this.
10350141610,220380826,11/13/2018 02:57:01 PM,11/13/2018 03:27:35 PM,198.105.65.10,,,,,B18,25-34,Female,,2,From a meeting,,10,1,"Exhausted, tired, and frustrated. Ready to recharge and take a break from work.",,Nature Walk,Napping,Solitude,,Socialize,,,Somewhat inappropriate,15,No,5,5,"A little better, still a little exhausted but not as frustrated",3,"There was a lot going on between the pillow vibration, the light, and all the sounds that it was a little overwhelming. The storm sound at the beginning made me a little nervous, and it was a little too loud for my preference ",Neither likely nor unlikely,Somewhat appropriate,I think this would be valuable but I think it needs to be tweaked a little so it’s more relaxing and not as distracting 
10349985716,220380826,11/13/2018 01:41:26 PM,11/13/2018 02:56:39 PM,198.105.65.10,,,,,B17,45-54,Female,,2,From a meeting,,8,3,"Stressed, yet happy",,Nature Walk,Napping,Solitude,,Socialize,,Other,Very appropriate,30,No,7,3,Floaty and less frazled,5,"It was very easy, communicated well and quick",Very likely,Very appropriate,"It would be good to let the front desk lady know the study was going on, she did not know where to send me 😊"
10349771544,220380826,11/13/2018 02:05:10 PM,11/13/2018 02:11:06 PM,198.105.65.10,,,,,B15,35-44,Female,,1,Working on my own,,7,10,Pretty good. I’m calm and chill. No worries of significance.,,,Napping,Solitude,,,,,Somewhat inappropriate,25,No,4,5,I feel like I need this set up in my space.  I am good. Feels like I work at a bizarre and interesting place. ,4,It was pleasant and calming.  ,Likely,Somewhat inappropriate,Thanks and good luck with your project.  
10349641104,220380826,11/13/2018 12:38:28 PM,11/13/2018 01:41:17 PM,198.105.65.10,,,,,B14,55-64,Male,,1,Working on my own,,8,5,Relaxed and unstressed.  I have fewer stress points this week than normal. ,Meditation,,Napping,Solitude,,Socialize,,Other,Somewhat inappropriate,15,No,5,5,About the same.  ,3,I relax a little differently.  My favourite is to use an intense video game. ,Likely,Neutral,Very interesting.  
10349102675,220380826,11/13/2018 11:24:18 AM,11/13/2018 11:46:45 AM,198.105.65.10,,,,,B10,25-34,Female,,1,From a meeting,,6,8,Relaxed because I got enough sleep last night. Also excited because I am enjoying my current projects at work.,,Nature Walk,,Solitude,,,Eat a snack,Other,Somewhat appropriate,15,No,10,2,Calm and like I just went for a 20 minute walk- that perfect sweet spot,5,I find it hard to stop thinking constantly and this experience actually cleared my mind,Very likely,Somewhat appropriate,I saw green and blue colours at the end! Also a higher headrest chair
10348991941,220380826,11/13/2018 11:12:46 AM,11/13/2018 11:24:06 AM,198.105.65.10,,,,,B9,25-34,Male,,3,Working on my own,,5,8,"Fine, a little hungry. ",,Nature Walk,,Solitude,,Socialize,Eat a snack,,Very appropriate,15,No,10,2,"Relaxed, curious",5,Relaxing and provoking.,Very likely,Very appropriate,
10348953213,220380826,11/13/2018 11:02:47 AM,11/13/2018 11:16:29 AM,198.105.65.10,,,,,B8,45-54,Female,,0,Working on my own,,5,3,"Ok, slightly annoyed about something ",Meditation,Nature Walk,,Solitude,Browse Social Media,Socialize,Eat a snack,,Somewhat appropriate,21,No,7,2,"I liked it , soothing, 😊",4,I would have liked it longer as soothing and then less crescendo thru out but at the end ,Likely,Very appropriate,I wonder if I could choose not to use the vibrating pillow 
10348881391,220380826,11/13/2018 10:46:10 AM,11/13/2018 11:02:38 AM,198.105.65.10,,,,,B7,35-44,Female,,1,From a meeting,,7,8,Calm. Excited to see the survey. Always excited for a nap,,,,Solitude,Browse Social Media,,,,Very inappropriate,30,Yes,0,0,Ha. Confused. Loud music blaired. My back vibrated. And lights changed colour. I was at a rock concert. Not relaxing at all. ,1,It was the exact opposite of what I hoped for. ,Very unlikely,Very inappropriate,
10348797684,220380826,11/13/2018 10:33:00 AM,11/13/2018 10:45:47 AM,198.105.65.10,,,,,B6,55-64,Female,,2,Working on my own,,4,8,Great’ a little anxious about what is going to happen.,,,,,,Socialize,Eat a snack,,Somewhat inappropriate,20,Yes,9,4,Very calm and relaxed.,4,I enjoyed everything but the thunder at the beginning.  Liked the sound of the rain and the music.  The movement on the back was nice too.,Likely,Very appropriate,
10348731676,220380826,11/13/2018 10:15:52 AM,11/13/2018 10:32:48 AM,198.105.65.10,,,,,B5,25-34,Female,,1,From a meal (Break/Lunch/Snack),,5,7,I feel energized (just ate a donut and a cup of coffee). But also feel relaxed and fairly stress free,,Nature Walk,Napping,,,Socialize,,Other,Somewhat inappropriate,20,No,9,5,"Calm, collected and refreshed. I feel very relaxed. ",4,"I didn’t really know what I was getting into, but it was easy and I got to benefit from the experience. Staff was great and made me feel welcomed and relaxed. ",Very likely,Neutral,
10348644900,220380826,11/13/2018 10:03:47 AM,11/13/2018 10:15:41 AM,198.105.65.10,,,,,B4,25-34,Female,,0,Working on my own,,5,8,I feel productive and energized ,,,Napping,Solitude,Browse Social Media,,Eat a snack,,Somewhat appropriate,30,No,5,3,I feel calm and a little sleepy ,4,I would have liked it to last longer,Likely,Somewhat appropriate,A 10 or 15 minute experience would have been more beneficial 
10348583626,220380826,11/13/2018 09:38:26 AM,11/13/2018 10:03:25 AM,198.105.65.10,,,,,B3,45-54,Male,,,From a meeting,,8,5,"Feel good, and busy",,Nature Walk,Napping,,Browse Social Media,,Eat a snack,,Somewhat inappropriate,16,No,2,4,Feel like I’d like to go out to my car and take a 20 minute nap,3,It was fine,Unlikely,Somewhat inappropriate,
10348449987,220380826,11/13/2018 09:01:30 AM,11/13/2018 09:35:21 AM,198.105.65.10,,,,,B2,35-44,Female,,3,Working on my own,,5,3,Like I need to meditate ,Meditation,Nature Walk,,Solitude,Browse Social Media,,Eat a snack,,Very inappropriate,15,No,7,3,Calm and ready to focus,5,It was quiet.,Likely,Neutral,
